集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-08-21,n142a69d545aa,部下のモヤっと相談を3分で解決！心理学の3択テクニック,324,45,278,142,15,2,10.56,3.42,0.0,,,,,,,,0.612,❓ データ不足,77.3
2026-08-21,n163696d4f163,「人気の壁」を越える条件とは？──データ分析で見えた“自走するSNS”の法則,294,15,278,151,15,2,9.93,1.28,0.0,,,,,,,,0.626,❓ データ不足,77.2
2026-08-21,n3a93bf679b2c,光で割れた？じゃあSPring-8で殴ってええですか。,391,112,278,90,11,11,12.22,9.07,0.0,,,,,,,,0.581,❓ データ不足,77.2
2026-08-21,na99788772dd8,AI画像生成で画風迷子？猫になったりする理由 | AI画像生成 | プロンプト | AI活用 | #474,6,1,7,709,117,35,16.5,-0.3,30.29,212.0,53.0,4.0,2.0,,,,0.558,❓ データ不足,77.1
2026-08-21,nb22642a2ee59,【簡易版】Platformは、なぜ推しのアルゴリズムを公開したのか。,181,6,176,460,48,19,10.43,-0.1,0.07,,,,,,,,0.606,❓ データ不足,77.1
2026-08-21,n995baed7ded7,Gemini、お前Duolingoか！？ AI先生と“ステップ学習”が始まった日,303,24,278,226,19,0,8.41,0.84,0.0,,,,,,,,0.702,❓ データ不足,77.0
2026-08-21,ncd12f1fca6d2,自己紹介 Ver.2 ─ 60日後に見えた、自分という構造,292,13,278,338,56,6,16.57,1.99,0.14,,,,,,,,0.551,💤 眠り型,76.9
2026-08-21,n7540136bf03c,srefってなんや！？魔法か？──構造じゃなく“演奏”でMidjourneyが描く世界,288,9,278,187,19,2,10.16,0.84,0.14,,,,,,,,0.6,❓ データ不足,76.9
2026-08-21,n66e70669703e,「誰やねん初対面やぞ！」 アレニウス式とウイスキー熟成に隠された時間と温度の哲学,297,18,278,175,18,2,10.29,1.22,0.07,,,,,,,,0.599,❓ データ不足,76.9
2026-08-21,n59fdf2b8f4ae,良かれと思って水をかけたら逆効果！？──太陽電池パネルの寿命を縮める“意外な習慣”,335,56,278,76,10,0,13.16,8.68,0.0,,,,,,,,0.551,❓ データ不足,76.7
2026-08-21,n7bd39322fb23,PythonでCSV→Excel変換3ステップ,760,481,278,136,14,2,10.29,5.79,0.21,,,,,,,,0.579,❓ データ不足,76.5
2026-08-21,n010c671b5d53,「Context Engineering 2.0」論文の独自解釈,286,7,278,153,14,0,9.15,-0.41,0.0,,,,,,,,0.602,❓ データ不足,76.2
2026-08-21,nd732c4d1b03d,Codex CLI・cloud・デスクトップ・ChatGPT Workの違いを整理した｜Codex｜ChatGPT Work｜AIエージェント｜,8,1,9,620,78,14,12.58,-1.81,26.22,210.0,53.0,4.0,2.0,13.0,,,0.532,❓ データ不足,76.2
2026-08-21,n36c149a7708a,AIの“わかったフリ”を止めるたった一言─リフレクション・プロンプティング,302,23,278,202,16,4,7.92,1.52,0.21,,,,,,,,0.69,💤 眠り型,76.2
2026-08-21,nbccf3a81e45c,「買うべきか、売るべきか」VWAP割安率と分位点分析で客観的に判断する方法,348,69,278,75,8,0,10.67,5.96,0.0,,,,,,,,0.551,❓ データ不足,76.1
2026-08-21,n658b8cc637f6,働きすぎて死んだ？洗濯機の寿命は“回数”と“熱”で決まる！,345,66,278,103,13,5,12.62,6.14,0.0,,,,,,,,0.525,❓ データ不足,76.0
2026-08-21,n1584fd23e2ce,【無料プロンプト付き】Reflective Counter Mode─AIが自分にツッコミを入れはじめた日。文脈ドリフトを笑いで制御する「自己観測AI」,285,6,278,158,17,4,10.76,0.56,0.07,,,,,,,,0.545,❓ データ不足,76.0
2026-08-21,n0c9b355a99c9,"AIに心を支配されない方法：「道具」として使いこなすための""疑いながら使う""成熟の境界線",284,5,278,281,28,2,9.96,-0.85,0.29,,,,,,,,0.555,💤 眠り型,75.8
2026-08-21,ncfd0c44243f0,プロンプト設計にはAIDMAが含まれてた！？──100年前のマーケ理論が、AIの思考を支配してた話,298,19,278,138,10,0,7.25,1.61,0.0,,,,,,,,0.735,❓ データ不足,75.7
2026-08-21,n8509829bfd99,回帰直線って、実は“カッコつけた一次直線”の話やで,291,12,278,194,15,0,7.73,0.29,0.0,,,,,,,,0.673,❓ データ不足,75.7
2026-08-21,ne1a13ccdb700,未来の私へ！Claude Codeの3つをまとめた | Claude Code | 生成AI | AI活用 |,9,1,10,784,99,8,12.63,-1.5,43.0,363.0,90.0,4.0,3.0,22.3,,,0.511,📊 成長中,75.7
2026-08-21,n27810521a1ba,2025年自民党総裁選と日本株価 ― 生成AIでシナリオを比較してみた,328,49,278,104,9,0,8.65,4.12,0.07,,,,,,,,0.595,❓ データ不足,75.6
2026-08-21,n9b34d64821d9,激震！「決算書、読んだフリ」はもうムリ。NotebookLMに丸投げしたら企業分析が爆笑レベルで深まった件,323,44,278,167,16,2,9.58,2.2,0.0,,,,,,,,0.554,❓ データ不足,75.6
2026-08-21,n2962eed0a9d4,プロンプトの読み方。長すぎるプロンプト、どう使えばええねん？,283,4,278,199,20,2,10.05,0.34,0.07,,,,,,,,0.536,❓ データ不足,75.5
2026-08-21,n68ae8f54f747,フォロワーの崖は「フォロー」で登れるか？回帰分析で判明した“行動が行動を呼ぶ”note の真理,295,16,278,180,22,2,12.22,3.55,0.14,,,,,,,,0.501,❓ データ不足,75.4
2026-08-21,n420a947a887b,体内時計がズレてる人ほど“光ログ”がヤバい。Apple Watchで測ってわかった真実〜,324,45,278,100,15,3,15.0,3.21,0.07,,,,,,,,0.483,❓ データ不足,75.3
2026-08-21,n3bd86f52e364,まさか学習アプリにハマるとは！？Duolingoが仕掛けた、人を虜にする継続の秘密（課金沼からの告白）,322,43,278,246,20,6,8.13,1.29,0.57,,,,,,,,0.61,💤 眠り型,75.3
2026-08-21,n911d43f9e3fa,制作物　仮想通貨の価格取得,598,319,278,69,14,3,20.29,16.11,0.0,,,,,,,,0.473,❓ データ不足,75.1
2026-08-21,n359e812b0ab5,バイオリンプロットって、データ界の“楽団リーダー”やった話,290,11,278,203,18,2,8.87,-0.25,0.0,,,,,,,,0.554,❓ データ不足,75.0
2026-08-21,n8b612ec93167,Midjourneyに手を出してみたら、アメコミ以外ぜんぜん出てこない件。,319,40,278,238,22,6,9.24,2.13,0.14,,,,,,,,0.533,💤 眠り型,74.9
2026-08-21,n00864a9be6ee,光はどこから入るの？「肌」と「目」の仁義なき戦い！〜「最強の光の浴び方」〜,320,41,278,180,13,0,7.22,2.87,0.0,,,,,,,,0.675,❓ データ不足,74.9
2026-08-21,nbca407b2fd33,生成AIは“知財担当の恋人”になれるか？ 特許文献を日本語に戻す読み解きガイド,333,54,278,89,20,6,22.47,12.8,0.79,,,,,,,,0.465,❓ データ不足,74.9
2026-08-21,n280140423c90,🎃トリックオアトリート👻 -ハロウィンアートイラスト2025-,312,33,278,370,29,8,7.84,1.36,0.0,,,,,,,,0.614,❓ データ不足,74.9
2026-08-21,nd31dc1844298,呪文じゃない！「pd」はエコ？コピペで終わらせないPython省略形の真実,322,43,278,177,12,2,6.78,2.96,0.0,,,,,,,,0.732,❓ データ不足,74.7
2026-08-21,nce91fe6494a6,プログラミング工程を料理で学ぶ7ステップ,793,514,278,105,13,7,12.38,8.97,0.0,,,,,,,,0.463,❓ データ不足,74.5
2026-08-21,n348ed9904976,名刺の「箱」で展示会に挑んだ後輩：令和の新人、謎の節約術,331,52,278,141,27,10,19.15,1.79,1.07,,,,,,,,0.45,🌙 スリーパー型,74.5
2026-08-21,n205d389bba48,たった30分の差が、ストレスを22％減らす ― Apple Watchが示した最新研究,344,65,278,308,111,9,36.04,-7.73,0.0,,,,,,,,0.443,❓ データ不足,74.3
2026-08-21,n40175cece20c,【無料テンプレ】トークンを犠牲にして人格を得る：ペルソナプロンプト設計術。ートークンの無駄遣いから始まる、AIとの共創,284,109,176,345,25,2,7.25,0.32,0.07,,,,,,,,0.626,❓ データ不足,74.1
2026-08-21,nd4d236c6cb27,「明日の朝な！」で動く！優柔不断な部下を強制的に自走させるマネジメント術,319,40,278,161,18,2,11.18,2.1,0.0,,,,,,,,0.458,❓ データ不足,74.0
2026-08-21,nbf5b6023ea85,こんなユーザーには気をつけろ！？Noteの闇、覗いちゃいました,316,37,278,402,58,10,14.43,2.76,0.43,,,,,,,,0.439,💤 眠り型,74.0
2026-08-21,nef5e1ff32c10,AIにパワポ作らせる仕組み作ったけど、これ需要ある？ | 資料作成 | パワポ | プロンプト |,13,1,14,759,94,19,12.38,-0.45,14.07,143.0,41.0,4.0,2.0,7.7,,,0.442,📊 成長中,73.9
2026-08-21,n27e2942c02d7,自己紹介/はじめてのnote,348,69,278,246,76,10,30.89,0.44,0.36,,,,,,,,0.421,💤 眠り型,73.7
2026-08-21,n26a2d7839528,Python環境構築は恋愛だった！？〜初学者エンジニアが辿り着いた、ゆるふわPythonライフ〜,332,53,278,144,19,8,13.19,0.49,0.07,,,,,,,,0.43,❓ データ不足,73.7
2026-08-21,na33ab3948ef9,プロンプトの長さって、見栄っ張りなんかもしれん笑,283,4,278,152,20,0,13.16,0.7,0.0,,,,,,,,0.429,❓ データ不足,73.6
2026-08-21,nc5198893279b,体験版｜AIにパワポ作らせるのをやめたら、速くなった | AI活用 | 生成AI | パワポ効率化 | 資料作成 | ツール比較|,7,1,8,505,48,5,9.5,-0.73,25.5,198.0,52.0,4.0,1.0,6.0,,,0.47,❓ データ不足,73.5
2026-08-21,na7053d705ed5,光を避けたい時期だからこそ、光の重要性について書いてみる,391,112,278,76,11,0,14.47,14.07,0.0,,,,,,,,0.42,❓ データ不足,73.5
2026-08-21,ndd8ce7cb7bcf,気づいたらnoteからColab、Cloudflareまで実装しとった | note運用 | 個人開発 | AI活用 | 生成AI | Google Colab |,23,1,24,1001,124,35,12.39,-0.3,4.5,192.0,49.0,4.0,1.0,7.7,,,0.427,🎆 バースト型,73.5
2026-08-21,n683b6ce7ee4a,Python外れ値検出を5手法で可視化,719,440,278,105,9,4,8.57,8.17,0.0,,,,,,,,0.498,❓ データ不足,73.4
2026-08-21,n81772e7e4b63,他の人のサムネ見てたら、ワイが知らん使い方が3つ出てきた｜SAMUNE PRESS作例｜note運用｜画像生成AI｜,11,1,12,714,109,17,15.27,-0.21,15.25,145.0,44.0,2.0,3.0,7.6,,,0.406,📊 成長中,73.2
2026-08-21,n09247ed4fa70,AIって結局なにができるん？──「5つの力」で説明してみた話,287,8,278,278,35,9,12.59,1.02,0.0,,,,,,,,0.403,❓ データ不足,72.8
2026-08-21,n9716e42bcae2,記事作成に疲れた？AIちびキャラで息抜き術 | AI活用 | 画像生成AI | プロンプト |,21,1,22,889,120,41,13.5,-0.85,6.36,244.0,69.0,4.0,2.0,6.4,,,0.386,🎆 バースト型,72.4
2026-08-21,n01f5446aaeff,33人、全員掘った。もうこれ以上は掘らん！｜AI活用｜生成AI｜ChatGPT｜CCC発掘隊｜,19,1,20,928,117,78,12.61,-1.22,5.64,274.0,76.0,4.0,2.0,5.5,,,0.384,🎆 バースト型,72.3
