rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
22,monthly,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,https://note.com/kotonoha_bridge,True,22,2026-03-07T10:43:13+09:00,2026-03-30T07:46:59+09:00,396,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
23,monthly,7580255,Kinu_AIイラスト,kinu885,https://note.com/kinu885,True,22,2026-03-01T06:45:12+09:00,2026-03-30T06:30:58+09:00,1265,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
24,monthly,3608968,KITAcore｜キタコレ,ktcrs1107,https://note.com/ktcrs1107,True,22,2026-03-12T18:11:45+09:00,2026-03-20T11:00:07+09:00,987,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
25,monthly,12409337,タピレモ,tapilemo,https://note.com/tapilemo,True,21,2026-03-04T15:20:46+09:00,2026-03-13T15:48:58+09:00,202,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
26,monthly,12589788,ういろう,tsubakinu,https://note.com/tsubakinu,True,20,2026-03-01T13:06:54+09:00,2026-03-29T16:14:32+09:00,399,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
27,monthly,11266699,旅くま,tabikuma_oji,https://note.com/tabikuma_oji,True,19,2026-03-02T21:51:08+09:00,2026-03-28T23:54:15+09:00,1008,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
28,monthly,5738970,営業fafa | note業界No.1営業マン,kohana1112,https://note.com/kohana1112,True,18,2026-03-01T08:04:58+09:00,2026-03-30T06:55:28+09:00,1010,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
29,monthly,12957187,アマドリウシロ,great_swan8128,https://note.com/great_swan8128,True,18,2026-03-04T01:17:04+09:00,2026-03-28T09:24:06+09:00,880,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
30,monthly,13374333,カピバラさん,dreamy_bear8625,https://note.com/dreamy_bear8625,True,18,2026-03-02T17:00:07+09:00,2026-03-27T18:59:09+09:00,451,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
31,monthly,11914162,キヲ@AIイラストレーター,alert_yak4745,https://note.com/alert_yak4745,True,17,2026-03-02T15:33:03+09:00,2026-03-30T07:23:32+09:00,2434,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
32,monthly,11782803,心野けいか🐹（ハムスターの人）,koko_kei,https://note.com/koko_kei,True,17,2026-03-13T09:37:42+09:00,2026-03-30T06:29:05+09:00,1291,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
33,monthly,12235051,青井透子｜日常の過剰解釈屋　,crisp_chimp0823,https://note.com/crisp_chimp0823,True,16,2026-03-01T08:33:22+09:00,2026-03-29T08:10:21+09:00,341,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
