ranking_type,date,like_user_id,creator_name,creator_urlname,score_daily,score_cumulative,period_start,period_end,generated_at
this_week,2026-04-18,2490558,だんだんありがと@めじゅ,dandan_arigato19,8,130,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-18,13140757,雪詠,yukiyomi,13,129,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-18,11583083,夏目羊,hitsuji_natsume,18,113,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-18,12197172,緑どんぐり,green_donguri,26,101,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-19,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,8,130,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-19,2490558,だんだんありがと@めじゅ,dandan_arigato19,0,130,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-19,13140757,雪詠,yukiyomi,0,129,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-19,11583083,夏目羊,hitsuji_natsume,0,113,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
this_week,2026-04-19,12197172,緑どんぐり,green_donguri,6,108,2026-04-13T00:00:00+09:00,2026-04-19T08:22:27.546065+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-06,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,49,49,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-06,7547534,メイシン,mei_shin,0,0,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-06,12589788,ういろう,tsubakinu,8,8,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-06,2490558,だんだんありがと@めじゅ,dandan_arigato19,20,20,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
